gene_selected;gene_evaluated;corr;pvalue;rank;is_on_pathway
DICER1;DICER1;1;Inf;1;1
DICER1;XPO5;0,503616844;52,45448018;2;1
DICER1;DROSHA;0,33792351;22,30645548;3;1
DICER1;AGO2;0,329596473;21,20102211;4;1
DICER1;ANKRD52;0,298301131;17,34229262;5;1
DICER1;DGCR8;0,281137304;15,41695831;6;1
DICER1;DOLK;0,243667755;11,65924734;7;0
DICER1;MNAT1;0,210099516;8,665429172;8;0
DICER1;MAP4K4;-0,208073683;8,627124342;9;0
DICER1;RBSN;0,207383078;8,573272881;10;0
DICER1;MED24;0,200485367;7,935597835;11;0
DICER1;TNRC6B;0,193201526;7,508290233;12;1
DICER1;WASHC5;0,190909552;7,343424713;13;0
DICER1;TNRC6A;0,184963064;6,924994775;14;1
DICER1;EMC1;0,181865548;6,712331148;15;0
DICER1;PTEN;-0,177146688;6,395280126;16;0
DICER1;OSGEP;0,176092422;6,325584538;17;0
DICER1;NKX6-3;-0,175470124;6,284640132;18;0
DICER1;MMD;0,173426294;6,151179815;19;0
DICER1;DPAGT1;0,173394442;6,149112145;20;0
DICER1;ACTR10;0,172083929;6,064369257;21;0
DICER1;CHMP4B;0,169720184;5,913129768;22;0
DICER1;TAOK1;-0,168312207;5,824025207;23;0
DICER1;ZMAT4;-0,166906043;5,735765269;24;0
DICER1;MED15;0,166242959;5,618351871;25;0
DICER1;GTF2F1;-0,165299359;5,560604435;26;0
DICER1;ITPKA;-0,163871543;5,547779502;27;0
DICER1;BIRC6;-0,163659942;5,534796972;28;0
DICER1;SERPINB9;0,163057146;5,497903264;29;0
DICER1;MLST8;0,162583742;5,4690222;30;0
DICER1;MPV17L2;-0,160757006;5,358346545;31;0
DICER1;ANP32E;-0,161431964;5,327284667;32;0
DICER1;MED23;0,161164362;5,311339675;33;0
DICER1;EMSY;0,160678763;5,282471214;34;0
DICER1;ADAMTS13;0,159258599;5,268473001;35;0
DICER1;PPP2R3C;0,158438323;5,219619931;36;0
DICER1;ERMARD;0,157986434;5,192811455;37;0
DICER1;C15orf41;0,157791449;5,181266865;38;0
DICER1;RBM5;-0,157607918;5,170413086;39;0
DICER1;EXOC5;0,157523763;5,165440329;40;0
DICER1;CINP;0,157511367;5,164708051;41;0
DICER1;NRDE2;0,157179169;5,14510508;42;0
DICER1;MYLPF;-0,157077251;5,139098914;43;0
DICER1;DAXX;0,157682441;5,106215158;44;0
DICER1;ALG1;0,156018401;5,076922854;45;0
DICER1;ACTB;-0,157004823;5,066800986;46;0
DICER1;GTF2H5;0,155357772;5,038336507;47;0
DICER1;RHOA;0,155230234;5,030905433;48;0
DICER1;HNRNPUL2;-0,154972192;5,015888512;49;0
DICER1;VSIG2;0,154812836;5,006626726;50;0
DICER1;COMMD3;0,154096184;4,965088404;51;0
DICER1;SMAD6;-0,15389505;4,953463777;52;0
DICER1;CDC37;-0,153334054;4,921118036;53;0
DICER1;OR8H3;-0,153132385;4,90951809;54;0
DICER1;MET;0,1527909;4,889909456;55;0
DICER1;DUPD1;-0,152068355;4,848558476;56;0
DICER1;RPP21;0,151999215;4,844611498;57;0
DICER1;ZNF33B;-0,151762331;4,831101613;58;0
DICER1;SFRP1;-0,151654005;4,824930362;59;0
DICER1;EMC2;0,15131368;4,805569809;60;0
DICER1;VPS45;0,151273836;4,803305872;61;0
DICER1;ASPM;-0,150801363;4,776503585;62;0
DICER1;TAF10;0,151706228;4,764255042;63;0
DICER1;CDH12;0,149781115;4,718901549;64;0
DICER1;SMPDL3A;0,149532605;4,704927686;65;0
DICER1;DAD1;0,149422959;4,698769292;66;0
DICER1;NSA2;-0,149198271;4,686162911;67;0
DICER1;UBA6;-0,149042412;4,677428876;68;0
DICER1;FAM193B;-0,148665058;4,656318994;69;0
DICER1;TTC8;0,148514442;4,647907503;70;0
DICER1;ALG10B;-0,147762103;4,606013388;71;0
DICER1;FOXA1;-0,147445162;4,588425276;72;0
DICER1;THAP5;0,147297907;4,580265861;73;0
DICER1;MAP3K11;-0,147110729;4,569905548;74;0
DICER1;ZMYND8;0,147625563;4,538050764;75;0
DICER1;TRIM22;0,147006016;4,504222178;76;0
DICER1;WDFY4;-0,145776425;4,496415103;77;0
DICER1;MED16;0,146589145;4,481536357;78;0
DICER1;COL1A1;-0,145146473;4,461940146;79;0
DICER1;RPS6KB1;0,144759798;4,440849076;80;0
DICER1;XRN1;0,144653856;4,435079816;81;0
DICER1;SCFD1;0,144277771;4,41463185;82;0
DICER1;MCRIP1;0,143912497;4,394820023;83;0
DICER1;HMBOX1;-0,143768194;4,387006389;84;0
DICER1;ARIH1;-0,143747028;4,385860905;85;0
DICER1;TSGA10;-0,143631473;4,379610166;86;0
DICER1;MANEA;0,143378614;4,36594873;87;0
DICER1;APOLD1;-0,143256461;4,359357245;88;0
DICER1;VPS8;0,143044777;4,347947147;89;0
DICER1;CEP55;0,14293582;4,342080426;90;0
DICER1;DNAJB12;-0,142898407;4,340066961;91;0
DICER1;GTF2A1;0,143796093;4,331119264;92;0
DICER1;MBNL1;0,142613046;4,324725736;93;0
DICER1;GTPBP3;-0,142511704;4,319284451;94;0
DICER1;PDCD2;0,142103798;4,297420183;95;0
DICER1;RABL3;0,141669455;4,274203947;96;0
DICER1;DDX24;0,140627316;4,218773701;97;0
DICER1;TMEFF2;-0,140009005;4,186068765;98;0
DICER1;UBE2M;-0,139748641;4,172337669;99;0
DICER1;PDE6B;0,139381742;4,153028912;100;0
DICER1;FURIN;0,139231526;4,145137334;101;0
DICER1;SNAPC1;0,139134684;4,14005395;102;0
DICER1;MSS51;-0,138967282;4,131274597;103;0
DICER1;EZH2;0,139975896;4,129820692;104;0
DICER1;KEAP1;-0,138343345;4,098639969;105;0
DICER1;RPP40;0,138138817;4,087972231;106;0
DICER1;KRT78;-0,138134793;4,08776251;107;0
DICER1;ARHGEF12;0,13765563;4,062829092;108;0
DICER1;CENPH;-0,1385332;4,055128098;109;0
DICER1;KDM2A;0,138434472;4,050043161;110;0
DICER1;PYDC1;-0,137200773;4,039235568;111;0
DICER1;DOCK7;0,137137933;4,035981814;112;0
DICER1;CAND1;-0,13711511;4,034800413;113;0
DICER1;BRF1;0,138075031;4,031559202;114;0
DICER1;C1orf43;-0,136922708;4,024848344;115;0
DICER1;IFNG;-0,136619723;4,009202793;116;0
DICER1;TAF3;0,137611562;4,007792128;117;0
DICER1;ALG13;0,139168736;4,007017039;118;0
DICER1;EMC6;0,136257233;3,990527117;119;0
DICER1;WDR25;0,136171605;3,986122323;120;0
DICER1;CDC42SE1;-0,136144279;3,984717176;121;0
DICER1;COMMD2;0,136104063;3,982649699;122;0
DICER1;TUBE1;0,136052197;3,979984124;123;0
DICER1;CCL26;-0,135664382;3,960083131;124;0
DICER1;ANKRD39;-0,13543262;3,948215403;125;0
DICER1;PINK1;0,135262922;3,939537759;126;0
DICER1;ZNF720;-0,134583567;3,904900131;127;0
DICER1;ARSK;0,134403752;3,895759278;128;0
DICER1;PTPN12;-0,134383633;3,894737229;129;0
DICER1;ZFYVE26;0,134286967;3,889828629;130;0
DICER1;DBP;-0,134182605;3,884532914;131;0
DICER1;CCDC130;-0,13398328;3,874429115;132;0
DICER1;RAP1A;0,13359852;3,854965055;133;0
DICER1;MED19;0,134417174;3,846012785;134;0
DICER1;SLC52A3;0,133412296;3,84556319;135;0
DICER1;METTL1;0,133395284;3,844704909;136;0
