SELECTED_GENE;EVALUATED_GENE;CORRELATION;PVALUE;is_on_pathway
GART;GART;1;0;1
GART;PAICS;0.8357685385944558;1.3994723327207264e-249;1
GART;MTHFD1;0.8305428402724535;1.0527168142140681e-243;1
GART;PFAS;0.8200228038610631;1.8353288768592636e-232;1
GART;ATIC;0.8138499189241203;3.3332104314891704e-226;1
GART;PPAT;0.7912798759100206;3.631225056702279e-205;1
GART;FPGS;0.7104087326125703;4.2811290201710145e-147;1
GART;ADSL;0.7005658423205525;2.1982103613464512e-141;1
GART;DHODH;0.6487303908116515;8.42614814074376e-115;0
GART;SDHB;0.6396059878366211;1.1939870817567485e-110;0
GART;ADSS2;0.6329795481519809;1.0107059522182864e-107;0
GART;NAMPT;0.6299826584004401;2.0199915773534777e-106;0
GART;TFRC;0.6279521023840892;1.5085733854904198e-105;0
GART;UMPS;0.6211213946785249;1.1721506527172793e-102;0
GART;CAD;0.6094361435059269;7.096142835088866e-98;0
GART;PPCDC;0.6013402063186201;1.1192155904241272e-94;0
GART;GMPS;0.5972745725835119;4.174169266936051e-93;0
GART;SDHA;0.5889224693300844;6.020223066150868e-90;0
GART;DHFR;0.5722162949932199;6.750310755151663e-84;0
GART;RFK;0,56597524;1.0032685911179572e-81;0
GART;RPIA;0.5613832805686114;3.717102385112269e-80;0
GART;DLST;0.5608321514376762;5.712736482337008e-80;0
GART;OGDH;0.5577935504618742;6.020032510976607e-79;0
GART;IMPDH2;0.5540630525119461;1.0492395893744347e-77;0
GART;CTPS1;0.5486412959375608;6.268086010646816e-76;0
GART;AHCY;0.5469160469899133;2.267555912819015e-75;0
GART;AP2M1;0.5448862858015402;1.0195149602755803e-74;0
GART;TRPM7;0.5032347531229889;2.9472339761639053e-62;0
GART;PPCS;0,484447693;3.540934946582201e-57;0
GART;GFPT1;0.47755025093014386;2.168388104524163e-55;0
GART;TKT;0.4688880886789819;3.3365476618528494e-53;0
GART;BCS1L;0.46691341531189484;1.030783429664438e-52;0
GART;IPPK;0.45941136941277905;7.002836100057135e-51;0
GART;MTR;0.4575851889621483;1.924829299421264e-50;0
GART;SLC4A7;0.45616854118261485;4.199578213526172e-50;0
GART;FH;0.45613956110022363;4.26697485495277e-50;0
GART;PGM3;0.45129925477272964;5.965978734076788e-49;0
GART;SDHC;0.4505583067148375;8.900637211428937e-49;0
GART;AP2S1;0.45053354792657546;9.020263230652967e-49;0
GART;SLC7A1;0.44500010626394526;1.7343852364976685e-47;0
GART;UQCRB;0.44243224958545413;6.713838254208205e-47;0
GART;UQCRC1;0.44167137002580176;1.0004238386926527e-46;0
GART;NMNAT1;0.43899325530163136;4.039848826072064e-46;0
GART;DLD;0.43866781517623205;4.782538012643094e-46;0
GART;SLC20A1;0.43333780394805593;7.392036220088127e-45;0
GART;ITPK1;0.4260783983554008;2.8479251973008495e-43;0
GART;ALAD;0.4233534614153752;1.0961262676888113e-42;0
GART;GCLC;0.4212232056132307;3.116928811051988e-42;0
GART;PGD;0.42101783001096865;3.445971609798593e-42;0
GART;UQCRC2;0.41754741625995034;1.8588960283136607e-41;0
GART;ALAS1;0.4150489492818821;6.179013995736943e-41;0
GART;UROD;0.4081252486705308;1.6356463283276257e-39;0
GART;TLN1;-0,398283495;1.5110670602143034e-37;0
GART;DCPS;0.39644359197308643;3.4631349536886714e-37;0
GART;FDPS;0.3889097386750456;9.790390303155896e-36;0
GART;TPK1;0,387787178;1.5989826060465603e-35;0
GART;YRDC;0.3869593888821626;2.2930631030188694e-35;0
GART;TYMS;0.3856558477129648;4.037078307825661e-35;0
GART;UROS;0.38435220353964783;7.089752184440287e-35;0
GART;COX16;0.3828752705559432;1.3377387892058686e-34;0
GART;UQCR10;0.3807008158342094;3.3866598558764508e-34;0
GART;DTYMK;0.3778801651651429;1.1182113729247098e-33;0
GART;CYC1;0.37726637744331215;1.4478799208523326e-33;0
GART;CAB39;0.3745502277995677;4.5123406540001914e-33;0
GART;UQCRFS1;0,372866745;9.078878082084793e-33;0
GART;LIPT1;0.3701093113004885;2.8281260989678046e-32;0
GART;FECH;0.3653292196595645;1.9754395191692046e-31;0
GART;COASY;0.3646826684154262;2.5630324659217736e-31;0
GART;CYCS;0.36377776817759594;3.686369787094906e-31;0
GART;FERMT2;-0,363695496;3.809998698240179e-31;0
GART;ACLY;0.36246856635778874;6.22404609898247e-31;0
GART;CCDC32;0.3573974651551765;4.626456657004342e-30;0
GART;LIAS;0,356899197;5.623414136696488e-30;0
GART;COA6;0.3568281523136163;5.781918261420245e-30;0
GART;ACO2;0.35451053022830387;1.4262710447494165e-29;0
GART;COX6C;0,35197599;3.7959345627588056e-29;0
GART;GSS;0.3516836507071166;4.2472115674119313e-29;0
GART;GNPNAT1;0.3466111388640968;2.9272411876659987e-28;0
GART;MVD;0.3462815767745334;3.314334591299091e-28;0
GART;COX10;0.3459847623173924;3.706119423137039e-28;0
GART;FARS2;0.34510381014430047;5.159761494627062e-28;0
GART;AMD1;0.3442279625358616;7.162292227411285e-28;0
GART;FLVCR1;0.34400859648185206;7.774140820454659e-28;0
GART;MRPS17;0.3401460082404743;3.2573366107605286e-27;0
GART;PDXK;0.34012484211053473;3.282827773702649e-27;0
GART;COX5B;0.34007276092013716;3.346395071939117e-27;0
GART;GFM1;0.34004671947843434;3.3786352498081074e-27;0
GART;PMM2;0.33965870967840484;3.897069462215735e-27;0
GART;MRPS2;0.33921060646474827;4.5943843601188065e-27;0
GART;COX6B1;0.3383838556267691;6.220385556980234e-27;0
GART;UGP2;0.3332509040399488;3.9986902212893367e-26;0
GART;WDR20;0.32789090824946926;2.6887862732861084e-25;0
GART;MRPS14;0.32602065495087323;5.18179589379539e-25;0
GART;RAB10;0.3258910512432289;5.421895610615254e-25;0
GART;PMVK;0.3257456697740922;5.704339410348599e-25;0
GART;MRPS6;0.32411667086280205;1.005781611256067e-24;0
GART;GLS;0.3235971832376937;1.2042938737342667e-24;0
GART;MRPS16;0.32162102105597035;2.381926418905272e-24;0
GART;TMX2;0.31902637790446126;5.787503957424196e-24;0
GART;COA7;0.3182482017725191;7.540374884524242e-24;0
GART;CMTR2;0.3177323656119603;8.981984857216004e-24;0
GART;TWNK;0.3174131882560705;1.0007157901647351e-23;0
